id,player_id,games_played,pass_att,pass_comp,pass_yd,pass_td,pass_int,qbr,rush_att,rush_yds,rush_td,rush_fum,targ,rec,rec_yds,rec_td,tackle_solo,tackle_tot,tackle_ast,sacks,sack_yds,tackle_for_loss,interceptions,int_td,kick_ret_td,punt_ret_td,fg_made,fg_att,fg_made_1_19,fg_att_1_19,fg_made_20_29,fg_att_20_29,fg_made_30_39,fg_att_30_39,fg_made_40_49,fg_att_40_40,fg_made_50,fg_att_50,xp_made,xp_att
36,10167,8,0,0,0,0,0,39.6,0,0,0,0,22,12,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8063,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,113,44,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,7224,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,8,2.5,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7849,1,0,0,0,0,0,39.6,0,0,0,0,4,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7560,12,0,0,0,0,0,39.6,0,0,0,0,29,23,245,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8804,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,64,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6453,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,65,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7805,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6742,7,0,0,0,0,0,39.6,110,437,4,0,24,16,128,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6293,5,53,36,453,2,5,67.6,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7133,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6431,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9961,14,0,0,0,0,0,39.6,3,42,0,0,78,42,587,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9881,10,0,0,0,0,0,39.6,0,0,0,0,16,11,93,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,9607,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8644,8,0,0,0,0,0,39.6,2,15,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6864,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,13,2,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7702,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,9955,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,51,10,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,7240,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,8420,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,6,2.5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7975,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6296,4,0,0,0,0,0,39.6,36,144,2,0,1,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,7232,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,7462,16,0,0,0,0,0,39.6,121,402,6,1,38,32,263,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6512,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,11,9,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,7920,9,0,0,0,0,0,39.6,7,34,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8248,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
