id,player_id,team_id,date_started,date_left
133,9849,72,2016-07-01,2016-07-01
134,7180,66,2016-07-01,2016-07-01
135,9996,75,2016-07-01,2016-07-01
136,7481,51,2016-07-01,2016-07-01
137,6366,69,2016-07-01,2016-07-01
138,7821,59,2016-07-01,2016-07-01
139,7072,64,2016-07-01,2016-07-01
140,10060,51,2016-07-01,2016-07-01
141,8435,78,2016-07-01,2016-07-01
142,9797,57,2016-07-01,2016-07-01
143,8077,60,2016-07-01,2016-07-01
144,10013,79,2016-07-01,2016-07-01
145,6135,56,2016-07-01,2016-07-01
146,9770,69,2016-07-01,2016-07-01
147,6968,78,2016-07-01,2016-07-01
148,8009,63,2016-07-01,2016-07-01
149,6265,54,2016-07-01,2016-07-01
150,7549,50,2016-07-01,2016-07-01
151,8065,54,2016-07-01,2016-07-01
152,7602,50,2016-07-01,2016-07-01
153,7225,49,2016-07-01,2016-07-01
154,7359,76,2016-07-01,2016-07-01
155,8570,71,2016-07-01,2016-07-01
156,9782,60,2016-07-01,2016-07-01
157,9783,60,2016-07-01,2016-07-01
158,7095,65,2016-07-01,2016-07-01
159,7722,70,2016-07-01,2016-07-01
160,8805,55,2016-07-01,2016-07-01
161,7641,70,2016-07-01,2016-07-01
162,9868,62,2016-07-01,2016-07-01
163,6707,53,2016-07-01,2016-07-01
164,9937,50,2016-07-01,2016-07-01
165,8478,80,2016-07-01,2016-07-01
166,8444,78,2016-07-01,2016-07-01
167,8511,80,2016-07-01,2016-07-01
168,7788,53,2016-07-01,2016-07-01
169,8436,78,2016-07-01,2016-07-01
170,6272,54,2016-07-01,2016-07-01
171,6190,54,2016-07-01,2016-07-01
172,9933,63,2016-07-01,2016-07-01
173,9837,52,2016-07-01,2016-07-01
174,8109,59,2016-07-01,2016-07-01
175,6171,51,2016-07-01,2016-07-01
176,7806,57,2016-07-01,2016-07-01
177,6306,69,2016-07-01,2016-07-01
178,9065,60,2016-07-01,2016-07-01
179,5944,76,2016-07-01,2016-07-01
180,9997,75,2016-07-01,2016-07-01
181,5945,76,2016-07-01,2016-07-01
182,7822,53,2016-07-01,2016-07-01
183,9601,55,2016-07-01,2016-07-01
184,8466,80,2016-07-01,2016-07-01
185,7599,50,2016-07-01,2016-07-01
186,6266,48,2016-07-01,2016-07-01
187,7259,48,2016-07-01,2016-07-01
188,8698,48,2016-07-01,2016-07-01
189,6814,55,2016-07-01,2016-07-01
190,8538,76,2016-07-01,2016-07-01
191,6256,48,2016-07-01,2016-07-01
192,6603,61,2016-07-01,2016-07-01
193,6658,52,2016-07-01,2016-07-01
194,6111,68,2016-07-01,2016-07-01
195,8853,76,2016-07-01,2016-07-01
196,6012,76,2016-07-01,2016-07-01
197,10008,78,2016-07-01,2016-07-01
198,9784,60,2016-07-01,2016-07-01
199,7087,57,2016-07-01,2016-07-01
200,7061,64,2016-07-01,2016-07-01
201,10009,78,2016-07-01,2016-07-01
202,6521,57,2016-07-01,2016-07-01
203,6469,57,2016-07-01,2016-07-01
204,9869,51,2016-07-01,2016-07-01
205,8359,58,2016-07-01,2016-07-01
206,6992,62,2016-07-01,2016-07-01
207,9991,59,2016-07-01,2016-07-01
208,9962,51,2016-07-01,2016-07-01
209,6748,75,2016-07-01,2016-07-01
210,6832,61,2016-07-01,2016-07-01
211,8030,54,2016-07-01,2016-07-01
212,9785,60,2016-07-01,2016-07-01
